No,Date,Time,PA of Inning,Pitch of PA,Pitcher,Pitcher ID,Pitcher Handedness,Pitcher Team,Batter,Batter ID,Batter Handedness,Batter Team,Pitch Set,Col15,Top/Bottom,Col17,Col18,Col19,Pitch Type,Col21,Pitch Call,Col23,Col24,Col25,Col26,Col27,Notes,Pitch Speed [m/s],Pitch Launch (V) [°],Pitch Launch (H) [°],Pitch Spin [rpm],Pitch Spin Direction [°],Pitch Spin Tilt,Pitch Release Height [m],Pitch Release Side [m],Pitch Extension [m],Pitch Break (V) [m],Pitch Break Ind (V) [m],Pitch Break (H) [m],Pitch Strike Zone - Height [m],Pitch Strike Zone - Offset [m],Pitch Zone Speed [m/s],Pitch Approach (V) [°],Pitch Approach (H) [°],Pitch Time [s],Hit Ball Speed [m/s],Hit Ball Launch (V) [°],Hit Ball Launch (H) [°],Hit Spin [rpm],Col51,Col52,Col53,Hit Carry Distance [m],Col55,Col56,Hit Ball Flight Time [s],pfxx [m],pfxz [m],x0 [m],y0 [m],z0 [m],vx0 [m/s],vy0 [m/s],vz0 [m/s],ax [m/s²],ay [m/s²],az [m/s²],Home Team,Away Team,Col71,Col72,Col73,Col74,GUID,px [m],pz [m],Supervisor
142,2/16/21,15:38:32,0,0,Jared Gordon,{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,Coe College,Jared White,{2931A5E4-AF8B-41F2-B2DD-179D1E7E7993},R,Coe College,Wind Up,,Top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coe College,Coe College,,,,,{EEBBFEC3-8155-463F-A709-190DED95576A},,,
143,2/16/21,15:38:46,0,0,Jared Gordon,{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,Coe College,Kevin Lamb,{B99A72F1-7918-4A58-936E-31A4B52AD16C},R,Coe College,Wind Up,,Top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coe College,Coe College,,,,,{DCEBD895-E736-4E8B-9EA8-73B7F9DE76F1},,,
144,2/16/21,15:39:01,0,0,Jared Gordon,{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,Coe College,Kevin Lamb,{B99A72F1-7918-4A58-936E-31A4B52AD16C},R,Coe College,Wind Up,,Top,,,,Slider,,Foul Ball,,,,,,,28.774,2.15,-2.669,1935,189.89,12:15,1.237,0.87,0.166,-1.289,0.749,0.149,0.619,0.188,25.401,-6.667,-1.644,0.661,,,,,,,,,,,,-0.092,0.369,-0.733,15.24,1.317,1.24,-28.169,0.431,-0.931,5.318,-6.092,Coe College,Coe College,,,,,{A242FD05-9DF2-40B7-9852-584BE6AF3F7F},-0.188,0.619,
145,2/16/21,15:39:32,0,0,Jared Gordon,{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,Coe College,Kevin Lamb,{B99A72F1-7918-4A58-936E-31A4B52AD16C},R,Coe College,Wind Up,,Top,,,,Four Seam Fastball,,Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coe College,Coe College,,,,,{E538F0F1-EBF3-4708-9DB6-5B8CC556FC92},,,
146,2/16/21,15:39:52,0,0,Jared Gordon,{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,Coe College,Kevin Lamb,{B99A72F1-7918-4A58-936E-31A4B52AD16C},R,Coe College,Wind Up,,Top,,,,Slider,,Swinging Strikeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coe College,Coe College,,,,,{16CCB53B-2646-4504-A7D1-CFD85A033982},,,
147,2/16/21,15:40:24,0,0,Jared Gordon,{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,Coe College,Matthew Schrader,{DDE80BB2-EF75-48B7-96ED-7043A1DAC199},R,Coe College,Wind Up,,Top,,,,,,Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coe College,Coe College,,,,,{ED3A2F70-5C67-4365-A161-F63F71DE8DCE},,,
148,2/16/21,15:40:44,0,0,Jared Gordon,{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,Coe College,Matthew Schrader,{DDE80BB2-EF75-48B7-96ED-7043A1DAC199},R,Coe College,Wind Up,,Top,,,,Four Seam Fastball,,Called Strike,,,,,,,29.494,2.571,-3.681,1930,242.569,2:00,1.217,1.025,1.351,-1.512,0.193,0.477,0.455,0.431,26.666,-8.328,-0.224,0.599,,,,,,,,,,,,-0.273,0.106,-0.911,15.24,1.283,1.693,-28.955,0.767,-2.972,4.802,-8.65,Coe College,Coe College,,,,,{BEDA4B93-2B23-49E2-811E-3E269BC23217},-0.431,0.455,
149,2/16/21,15:41:06,0,0,Jared Gordon,{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,Coe College,Matthew Schrader,{DDE80BB2-EF75-48B7-96ED-7043A1DAC199},R,Coe College,Wind Up,,Top,,,,Four Seam Fastball,,Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coe College,Coe College,,,,,{E96592EE-7333-4C74-86D6-74CCA0CCF067},,,
150,2/16/21,15:41:23,0,0,Jared Gordon,{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,Coe College,Matthew Schrader,{DDE80BB2-EF75-48B7-96ED-7043A1DAC199},R,Coe College,Wind Up,,Top,,,,Slider,,Foul Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coe College,Coe College,,,,,{5F80A5A5-17FD-4371-AAC5-01C0457DFDB6},,,
151,2/16/21,15:41:53,0,0,Jared Gordon,{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,Coe College,Matthew Schrader,{DDE80BB2-EF75-48B7-96ED-7043A1DAC199},R,Coe College,Wind Up,,Top,,,,Slider,,Ball,,,,,,,30.842,3.767,-6.58,2120,310.597,4:15,1.055,0.814,1.327,-1.799,-0.197,0.166,0.362,-0.944,27.655,-9.13,-5.389,0.581,,,,,,,,,,,,-0.137,-0.103,-0.6,15.24,1.158,3.388,-29.902,1.318,-1.587,5.238,-10.999,Coe College,Coe College,,,,,{E7BFC533-29B3-423B-83E6-FC6BE15102EC},0.944,0.362,
