No,Date,Time,PA of Inning,Pitch of PA,Pitcher,Pitcher ID,Pitcher Handedness,Pitcher Team,Batter,Batter ID,Batter Handedness,Batter Team,Pitch Set,Col15,Top/Bottom,Col17,Col18,Col19,Pitch Type,Col21,Pitch Call,Col23,Col24,Col25,Col26,Col27,Notes,Pitch Speed [m/s],Pitch Launch (V) [°],Pitch Launch (H) [°],Pitch Spin [rpm],Pitch Spin Direction [°],Pitch Spin Tilt,Pitch Release Height [m],Pitch Release Side [m],Pitch Extension [m],Pitch Break (V) [m],Pitch Break Ind (V) [m],Pitch Break (H) [m],Pitch Strike Zone - Height [m],Pitch Strike Zone - Offset [m],Pitch Zone Speed [m/s],Pitch Approach (V) [°],Pitch Approach (H) [°],Pitch Time [s],Hit Ball Speed [m/s],Hit Ball Launch (V) [°],Hit Ball Launch (H) [°],Hit Spin [rpm],Col51,Col52,Col53,Hit Carry Distance [m],Col55,Col56,Hit Ball Flight Time [s],pfxx [m],pfxz [m],x0 [m],y0 [m],z0 [m],vx0 [m/s],vy0 [m/s],vz0 [m/s],ax [m/s²],ay [m/s²],az [m/s²],Home Team,Away Team,Col71,Col72,Col73,Col74,GUID,px [m],pz [m],Supervisor
218,2/2/21,17:53:21,0,0,Hunter Collachia,{4077D084-F300-42A0-B9DF-5D785E84FC82},R,Coe College,Luke Smailes,{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},L,Coe College,Wind Up,,Top,,,,Four Seam Fastball,,Ball,,,,,,,33.366,-1.166,-3.141,1822,267.666,3:00,1.726,0.343,1.896,-1.248,-0.022,0.392,0.149,-0.149,30.677,-10.385,-0.21,0.508,,,,,,,,,,,,-0.238,0.018,-0.274,15.24,1.692,1.694,-33.051,-1.054,-3.38,6.14,-9.554,Coe College,Coe College,,,,,{952665F0-3289-4C82-A611-840BE08BEF1A},0.149,0.149,
219,2/2/21,17:53:38,0,0,Hunter Collachia,{4077D084-F300-42A0-B9DF-5D785E84FC82},R,Coe College,Luke Smailes,{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},L,Coe College,Wind Up,,Top,,,,Four Seam Fastball,,Ball,,,,,,,34.184,-2.209,-3.876,1983,245.828,2:15,1.92,0.485,1.854,-1.001,0.18,0.482,0.295,-0.127,31.245,-9.592,-0.283,0.498,,,,,,,,,,,,-0.292,0.135,-0.397,15.24,1.861,2.133,-33.762,-1.625,-4.319,6.441,-7.808,Coe College,Coe College,,,,,{7FB7C22D-0F4E-4BD1-9F1B-01D5148E69F1},0.127,0.295,
220,2/2/21,17:58:51,0,0,Carter Franzen,{7D44662B-9F4D-4C94-BE92-A5900D925B19},L,Coe College,Luke Smailes,{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},L,Coe College,Wind Up,,Top,,,,Changeup,,Ball,,,,,,,29.848,3.425,4.83,1656,33.383,7:00,1.424,-1.067,1.256,-2.142,-0.427,-0.248,0.288,0.101,27.122,-11.803,3.053,0.6,,,,,,,,,,,,0.162,-0.217,0.905,15.24,1.514,-2.36,-29.016,0.95,1.774,4.697,-12.182,Coe College,Coe College,,,,,{9B96F3CA-E548-403E-88C6-31F57919C13D},-0.101,0.288,
221,2/2/21,17:59:31,0,0,Carter Franzen,{7D44662B-9F4D-4C94-BE92-A5900D925B19},L,Coe College,Luke Smailes,{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},L,Coe College,Wind Up,,Top,,,,Four Seam Fastball,,Ball,,,,,,,31.185,4.123,4.259,2368,53.928,7:45,1.346,-1.062,1.304,-1.988,-0.447,-0.549,0.566,-0.366,28.335,-10.116,0.302,0.569,,,,,,,,,,,,0.312,-0.237,0.927,15.24,1.46,-2.064,-30.536,1.448,3.783,5.212,-12.674,Coe College,Coe College,,,,,{83103883-B668-4299-A001-85D3B6CBE5C9},0.366,0.566,
222,2/2/21,17:59:49,0,0,Carter Franzen,{7D44662B-9F4D-4C94-BE92-A5900D925B19},L,Coe College,Luke Smailes,{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},L,Coe College,Wind Up,,Top,,,,Slider,,Called Strike,,,,,,,29.01,5.137,4.833,1927,63.398,8:00,1.445,-0.993,1.465,-2.113,-0.343,-0.574,0.824,-0.169,26.189,-10.136,0.657,0.609,,,,,,,,,,,,0.335,-0.191,0.852,15.24,1.58,-2.198,-28.239,1.852,3.471,4.486,-11.784,Coe College,Coe College,,,,,{0CC73497-91EB-4323-84F3-2942A6A96549},0.169,0.824,
223,2/2/21,18:00:24,0,0,Carter Franzen,{7D44662B-9F4D-4C94-BE92-A5900D925B19},L,Coe College,Luke Smailes,{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},L,Coe College,Wind Up,,Top,,,,Four Seam Fastball,,Ball,,,,,,,31.221,4.563,3.671,1691,73.874,8:30,1.465,-1.114,1.257,-1.741,-0.202,-0.492,1.064,-0.531,28.04,-7.956,0.12,0.57,,,,,,,,,,,,0.28,-0.111,0.995,15.24,1.599,-1.773,-30.605,1.772,3.379,5.587,-11.143,Coe College,Coe College,,,,,{8B0D161B-9A05-4A01-873E-20E1E3F377D3},0.531,1.064,
224,2/2/21,18:00:59,0,0,Carter Franzen,{7D44662B-9F4D-4C94-BE92-A5900D925B19},L,Coe College,Luke Smailes,{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},L,Coe College,Wind Up,,Top,,,,Curveball,,Ball,,,,,,,28.754,5.905,2.238,1302,13.634,6:30,1.307,-1.182,1.337,-2.166,-0.383,-0.063,0.867,-0.593,25.262,-9.972,1.774,0.623,,,,,,,,,,,,0.056,-0.198,1.11,15.24,1.476,-1.082,-28.225,2.191,0.558,6.018,-11.77,Coe College,Coe College,,,,,{7123FD06-B5A3-4321-9123-20500CAB32C8},0.593,0.867,
225,2/2/21,18:01:21,0,0,Carter Franzen,{7D44662B-9F4D-4C94-BE92-A5900D925B19},L,Coe College,Luke Smailes,{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},L,Coe College,Wind Up,,Top,,,,Two Seam Fastball,,Called Strike,,,,,,,31.244,2.177,5.312,1905,114.015,9:45,1.509,-1.153,1.478,-1.31,0.182,-0.516,0.83,-0.133,28.277,-7.334,1.558,0.56,,,,,,,,,,,,0.309,0.102,0.998,15.24,1.562,-2.671,-30.707,0.706,3.786,5.3,-8.559,Coe College,Coe College,,,,,{239648D3-5C11-49F9-B1FD-64B97B97B860},0.133,0.83,
226,2/2/21,18:01:35,0,0,Carter Franzen,{7D44662B-9F4D-4C94-BE92-A5900D925B19},L,Coe College,Luke Smailes,{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},L,Coe College,Wind Up,,Top,,,,Changeup,,Ball,,,,,,,29.496,4.105,4.306,2479,37.383,7:15,1.417,-0.997,1.438,-2.258,-0.554,-0.379,0.351,-0.128,26.797,-12.177,1.549,0.599,,,,,,,,,,,,0.231,-0.291,0.868,15.24,1.521,-2.042,-28.823,1.309,2.477,4.901,-12.929,Coe College,Coe College,,,,,{15BA77FF-D109-43C9-BFDE-763252303888},0.128,0.351,
229,2/2/21,18:08:07,0,0,Tyler Riebhoff,{C5414F36-1CA9-4B3D-BC7B-E3C7291D0CB4},R,Coe College,Luke Smailes,{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},L,Coe College,Wind Up,,Top,,,,Four Seam Fastball,,Called Strike,,,,,,,36.031,3.418,-3.905,2043,327.459,5:00,1.494,0.842,1.865,-1.532,-0.471,0.28,0.928,0.02,32.886,-7.937,-1.826,0.472,,,,,,,,,,,,-0.181,-0.264,-0.753,15.24,1.564,2.334,-35.571,1.615,-2.982,6.937,-14.161,Coe College,Coe College,,,,,{946E091A-390A-4E6D-A70C-898C55CAF0C3},-0.02,0.928,
